Name,Pos,Status,Height,Weight
"Atkins, Geno",DT,ACT,6'1,300
"Bernard, Giovani",RB,RES,5'9,205
"Billings, Andrew",NT,RES,6'1,311
"Bodine, Russell",C,ACT,6'3,308
"Boling, Clint",G,RES,6'5,305
"Boyd, Tyler",WR,ACT,6'2,197
"Brown, Chykie",DB,RES,5'11,191
"Bullock, Randy",K,ACT,5'9,206
"Burfict, Vontaze",OLB,ACT,6'1,250
"Burkhead, Rex",RB,ACT,5'10,210
"Carson, Tra",RB,ACT,5'11,227
"Clarke, Will",DE,ACT,6'6,280
"Core, Cody",WR,ACT,6'3,210
"Dalton, Andy",QB,ACT,6'2,220
"Dansby, Karlos",OLB,ACT,6'3,251
"Dawson, P.J.",LB,ACT,6'0,240
"Dennard, Darqueze",CB,ACT,5'11,198
"Driskel, Jeff",QB,ACT,6'4,231
"Dunlap, Carlos",DE,ACT,6'6,280
"Eifert, Tyler",TE,RES,6'6,250
"Erickson, Alex",WR,ACT,6'0,195
"Fejedelem, Clayton",SAF,ACT,6'0,205
"Fisher, Jake",OT,ACT,6'6,305
"Flowers, Marquis",OLB,ACT,6'3,245
"Gilberry, Wallace",DE,ACT,6'2,270
"Green, A.J.",WR,RES,6'4,210
"Hardison, Marcus",DT,RES,6'3,315
"Harris, Clark",LS,ACT,6'5,250
"Hewitt, Ryan",TE,ACT,6'4,254
"Hill, Jeremy",RB,ACT,6'1,235
"Hopkins, Trey",OG,ACT,6'3,310
"Huber, Kevin",P,ACT,6'1,211
"Hunt, Margus",DE,ACT,6'8,295
"Iloka, George",FS,ACT,6'4,225
"Jackson, William",CB,RES,6'0,189
"Johnson, T.J.",OG,ACT,6'4,300
"Johnson, Michael",DE,ACT,6'7,272
"Jones, Adam",CB,ACT,5'10,180
"Kirkpatrick, Dre",CB,ACT,6'2,185
"Kroft, Tyler",TE,ACT,6'6,250
"Kumerow, Jake",WR,ACT,6'4,206
"LaFell, Brandon",WR,ACT,6'3,210
"Maualuga, Rey",MLB,ACT,6'2,258
"McCarron, AJ",QB,ACT,6'3,220
"Ogbuehi, Cedric",OT,RES,6'5,310
"Peerman, Cedric",RB,ACT,5'10,212
"Peko, Domata",DT,ACT,6'3,325
"Rey, Vincent",OLB,ACT,6'0,250
"Roach, Trevor",LB,ACT,6'2,247
"Russell, KeiVarae",CB,ACT,5'11,192
"Shaw, Josh",CB,ACT,6'1,200
"Sims, Pat",DT,ACT,6'2,330
"Smith, Derron",FS,ACT,5'10,200
"Thompson, Brandon",DT,PUP,6'2,305
"Uzomah, C.J.",TE,ACT,6'6,265
"Vigil, Nick",ILB,ACT,6'2,239
"Westerman, Christian",OG,ACT,6'3,300
"Whitworth, Andrew",T,ACT,6'7,330
"Williams, DeShawn",DT,ACT,6'1,295
"Williams, Shawn",SS,ACT,6'0,210
"Winston, Eric",T,ACT,6'7,310
"Wright, James",WR,ACT,6'1,201
"Zeitler, Kevin",G,ACT,6'4,320
