Name,Pos,Status,Height,Weight
"Alexander, Dominique",ILB,ACT,6'0,235
"Alford, Mario",WR,ACT,5'9,180
"Atkinson, George",RB,ACT,6'1,220
"Bailey, Alvin",OG,ACT,6'3,320
"Barnidge, Gary",TE,ACT,6'6,250
"Bitonio, Joel",G,RES,6'4,305
"Boddy-Calhoun, Briean",SS,ACT,5'9,193
"Burley, Marcus",DB,ACT,5'10,190
"Caldwell, Trey",DB,ACT,5'9,185
"Campbell, Ibraheim",SS,ACT,5'11,208
"Carder, Tank",ILB,ACT,6'2,235
"Coleman, Shon",OT,ACT,6'6,310
"Coleman, Corey",WR,ACT,5'10,185
"Collins, Jamie",OLB,ACT,6'3,250
"Colquitt, Britton",P,ACT,6'2,205
"Cooper, Xavier",DE,ACT,6'4,300
"Crowell, Isaiah",RB,ACT,5'11,225
"Davis, Demario",ILB,ACT,6'2,248
"DeValve, Seth",TE,ACT,6'3,245
"Drango, Spencer",OG,ACT,6'6,315
"Erving, Cameron",C,ACT,6'5,313
"Fabiano, Anthony",C,ACT,6'5,307
"Gordon, Josh",WR,SUS,6'3,225
"Greco, John",G,RES,6'4,318
"Griffin III, Robert",QB,ACT,6'2,218
"Haden, Joe",CB,ACT,5'11,195
"Hall, Rannell",WR,RES,6'0,200
"Hawkins, Andrew",WR,ACT,5'7,180
"Higgins, Rashard",WR,ACT,6'1,198
"Hogan, Kevin",QB,ACT,6'3,217
"Holmes, Tyrone",DE,ACT,6'2,253
"Howard, Tracy",FS,ACT,5'10,185
"Hughlett, Charley",LS,ACT,6'4,248
"Ikard, Gabe",C,ACT,6'4,304
"Jackson, Darius",RB,ACT,6'0,221
"Johnson, Cam",OLB,ACT,6'4,268
"Johnson, Duke",RB,ACT,5'9,210
"Kessler, Cody",QB,ACT,6'1,215
"Kirksey, Christian",ILB,ACT,6'2,235
"Lawrence-Stample, Nile",DT,RES,6'1,320
"Louis, Ricardo",WR,ACT,6'2,215
"McCown, Josh",QB,ACT,6'4,218
"Meder, Jamie",DE,ACT,6'3,308
"Nassib, Carl",DE,ACT,6'7,275
"Neal, Rajion",RB,RES,5'11,220
"Ogbah, Emmanuel",DE,ACT,6'3,275
"Orchard, Nate",OLB,RES,6'4,255
"Paea, Stephen",DE,ACT,6'1,300
"Parkey, Cody",K,ACT,6'0,193
"Parks, Dennis",WR,RES,6'2,201
"Pasztor, Austin",OT,ACT,6'7,308
"Payton, Jordan",WR,SUS,6'1,209
"Poyer, Jordan",FS,RES,6'0,191
"Pryor, Terrelle",WR,ACT,6'4,223
"Reiter, Austin",C,RES,6'3,307
"Reynolds, Ed",FS,ACT,6'1,207
"Schobert, Joe",OLB,ACT,6'1,245
"Shelton, Danny",NT,ACT,6'2,335
"Taylor, Jamar",CB,ACT,5'11,192
"Telfer, Randall",TE,ACT,6'3,250
"Thomas, Joe",T,ACT,6'6,312
"Vitale, Danny",FB,ACT,6'1,239
"Williams, Tramon",CB,ACT,6'0,192
"Winston, Glenn",RB,RES,6'2,220
"Wright, Gabe",DT,ACT,6'3,305
"Wynn, Dylan",DT,RES,6'2,283
