Name,Pos,Status,Height,Weight
"Bethel, Justin",CB,ACT,6'0,200
"Boehm, Evan",OG,ACT,6'2,310
"Boggs, Taylor",C,RES,6'3,302
"Bouka, Elie",DB,RES,6'1,205
"Branch, Tyvon",DB,RES,6'0,210
"Brewer, Aaron",LS,ACT,6'5,230
"Brown, Jaron",WR,RES,6'2,205
"Brown, John",WR,ACT,5'11,179
"Bryant, Christian",DB,ACT,5'10,198
"Bucannon, Deone",OLB,RES,6'1,211
"Bundy, Marquis",WR,ACT,6'4,215
"Campbell, Calais",DE,ACT,6'8,300
"Catanzaro, Chandler",K,ACT,6'3,200
"Cooper, Marcus",CB,ACT,6'2,192
"Dixon, Brian",DB,ACT,6'0,195
"Dysert, Zac",QB,ACT,6'3,221
"Ellington, Andre",RB,ACT,5'9,199
"Fells, Darren",TE,ACT,6'7,281
"Fitzgerald, Larry",WR,ACT,6'3,218
"Fua, Alani",OLB,RES,6'5,234
"Golden, Brittan",WR,ACT,5'11,186
"Golden, Markus",OLB,ACT,6'3,260
"Gooden, Zaviar",LB,ACT,6'1,231
"Gresham, Jermaine",TE,ACT,6'5,260
"Gunter, Rodney",DE,ACT,6'5,305
"Hartfield, Trevon",DB,ACT,6'0,195
"Humphries, D.J.",OT,ACT,6'5,307
"Iupati, Mike",G,ACT,6'5,331
"Jefferson, Tony",SS,RES,5'11,212
"Jenkins, Mike",DB,RES,5'10,197
"John, Ulrick",OT,RES,6'5,307
"Johnson, Chris",RB,RES,5'11,203
"Johnson, David",RB,ACT,6'1,224
"Jones, Chandler",OLB,ACT,6'5,265
"Martin, Gabe",LB,RES,6'2,236
"Martin, Kareem",LB,ACT,6'6,272
"Mathieu, Tyrann",FS,RES,5'9,186
"Mathis, Evan",G,RES,6'5,301
"Mauro, Josh",DE,ACT,6'6,282
"Miller, Harlan",FS,ACT,6'0,182
"Minter, Kevin",MLB,ACT,6'0,246
"Momah, Ifeanyi",TE,RES,6'7,255
"Moore, Sio",OLB,ACT,6'1,245
"Nelson, J.J.",WR,ACT,5'10,160
"Niklas, Troy",TE,RES,6'6,270
"Nkemdiche, Robert",DT,ACT,6'3,296
"Okafor, Alex",OLB,ACT,6'4,261
"Palmer, Carson",QB,ACT,6'5,235
"Peters, Corey",NT,ACT,6'3,305
"Peterson, Patrick",CB,ACT,6'1,203
"Pierre, Olsen",DT,ACT,6'5,293
"Price, Givens",DT,ACT,6'4,310
"Ross, Jeremy",WR,ACT,6'0,215
"Rucker, Frostee",DE,ACT,6'3,280
"Shipley, A.Q.",C,ACT,6'1,307
"Stanton, Drew",QB,ACT,6'3,243
"Stinson, Ed",DE,ACT,6'4,287
"Swearinger, D.J.",FS,ACT,5'10,205
"Taylor, Stepfan",RB,ACT,5'9,216
"Toner, Cole",OG,ACT,6'5,300
"Valles, Hakeem",TE,ACT,6'5,260
"Veldheer, Jared",T,RES,6'8,321
"Watford, Earl",OG,ACT,6'3,300
"Wetzel, John",OT,ACT,6'7,328
"Wile, Matt",P,ACT,6'2,215
"Williams, Brandon",CB,ACT,5'11,200
"Williams, Kerwynn",RB,ACT,5'8,198
"Williams, Xavier",NT,ACT,6'2,309
"Wright, Scooby",ILB,ACT,6'0,240
