Name,Pos,Status,Height,Weight
"Adams, Mike",SS,ACT,5'11,205
"Allen, Dwayne",TE,ACT,6'3,265
"Anderson, Henry",DE,ACT,6'6,300
"Ayers, Akeem",LB,ACT,6'3,255
"Blythe, Austin",OG,ACT,6'2,298
"Bray, Quan",WR,RES,5'10,186
"Butler, Darius",FS,ACT,5'10,188
"Cage, Isiah",OT,RES,6'5,312
"Carter, Chris",LB,ACT,6'1,245
"Castonzo, Anthony",T,ACT,6'7,311
"Clark, Le'Raven",OT,ACT,6'5,319
"Cole, Trent",OLB,ACT,6'3,270
"Davis, Vontae",CB,ACT,5'11,207
"Dorsett, Phillip",WR,ACT,5'10,185
"Doyle, Jack",TE,ACT,6'6,267
"Farley, Matthias",DB,ACT,5'11,210
"Ferguson, Josh",RB,ACT,5'10,200
"Geathers, Clayton",FS,RES,6'2,220
"Good, Denzelle",OG,ACT,6'5,355
"Gore, Frank",RB,ACT,5'9,217
"Green, T.J.",FS,ACT,6'2,205
"Haeg, Joe",OT,ACT,6'6,304
"Harrison, Jonotthan",OG,ACT,6'4,300
"Hilton, T.Y.",WR,ACT,5'9,180
"Jackson, D'Qwell",ILB,SUS,6'0,242
"Jackson, Edwin",ILB,ACT,6'0,230
"James, Charles",DB,ACT,5'9,185
"Jones, Arthur",DE,RES,6'3,320
"Kelly, Ryan",C,ACT,6'4,313
"Kerr, Zach",DE,ACT,6'2,334
"King, Deon",LB,ACT,6'0,225
"Langford, Kendall",DE,RES,6'6,305
"Luck, Andrew",QB,ACT,6'4,240
"Maggitt, Curt",OLB,RES,6'3,250
"Mathis, Robert",OLB,ACT,6'2,245
"McAfee, Pat",P,ACT,6'1,233
"McGill, T.Y.",DT,ACT,6'0,310
"McNary, Josh",ILB,ACT,6'0,251
"Melvin, Rashaan",CB,ACT,6'2,193
"Mewhort, Jack",OG,RES,6'6,312
"Milton, Chris",DB,ACT,5'11,190
"Moncrief, Donte",WR,ACT,6'2,222
"Morris, Darryl",DB,ACT,5'10,188
"Morrison, Antonio",ILB,ACT,6'1,232
"Mount, Deiontrez",LB,ACT,6'5,249
"Overton, Matt",LS,ACT,6'1,243
"Parry, David",NT,ACT,6'2,310
"Reitz, Joe",OT,ACT,6'7,325
"Rhodes, Luke",LB,ACT,6'2,242
"Ridgeway, Hassan",DT,ACT,6'3,317
"Robinson, Patrick",CB,RES,5'11,191
"Rogers, Chester",WR,ACT,6'1,180
"Sokoli, Kristjan",DT,ACT,6'5,300
"Street, Devin",WR,ACT,6'3,200
"Swoope, Erik",TE,ACT,6'5,257
"Thornton, Hugh",G,RES,6'3,320
"Todman, Jordan",RB,ACT,5'10,200
"Tolzien, Scott",QB,ACT,6'2,213
"Turbin, Robert",RB,ACT,5'10,225
"Vinatieri, Adam",K,ACT,6'0,206
"Vujnovich, Jeremy",OT,ACT,6'5,300
"Walden, Erik",OLB,ACT,6'2,250
"Williams, Duke",SS,ACT,5'11,201
"Williamson, Andrew",DB,RES,6'1,212
