Name,Pos,Status,Height,Weight
"Abdul-Quddus, Isa",SS,RES,6'1,196
"Aikens, Walt",FS,ACT,6'1,218
"Ajayi, Jay",RB,ACT,6'0,229
"Albert, Branden",OT,ACT,6'5,314
"Alonso, Kiko",MLB,ACT,6'3,239
"Branch, Andre",DE,ACT,6'5,263
"Brendel, Jake",C,ACT,6'4,305
"Bushrod, Jermon",OG,ACT,6'5,320
"Butler, Donald",OLB,ACT,6'1,242
"Cameron, Jordan",TE,RES,6'5,265
"Carroo, Leonte",WR,ACT,6'0,217
"Chekwa, Chimdi",DB,RES,6'0,190
"Darr, Matt",P,ACT,6'1,214
"Denney, John",LS,ACT,6'5,242
"Drake, Kenyan",RB,ACT,6'1,216
"Duarte, Thomas",TE,ACT,6'2,241
"Ekpre-Olomu, Ifo",CB,RES,5'9,200
"Fede, Terrence",DE,ACT,6'4,267
"Franks, Andrew",K,ACT,6'1,202
"Grant, Jakeem",WR,ACT,5'7,172
"Gray, MarQueis",TE,ACT,6'4,255
"Hendy, A.J.",DB,ACT,6'0,209
"Hewitt, Neville",OLB,ACT,6'2,232
"Howard, Xavien",CB,ACT,6'1,198
"Hull, Mike",LB,ACT,6'0,233
"James, Ja'Wuan",T,ACT,6'6,307
"Jenkins, Jelani",OLB,ACT,6'0,240
"Jones, Dominique",TE,ACT,6'3,270
"Jones, Reshad",FS,RES,6'1,214
"Landry, Jarvis",WR,ACT,5'11,206
"Lippett, Tony",CB,ACT,6'3,194
"Lucas, Jordan",SS,ACT,6'0,204
"Maxwell, Byron",CB,ACT,6'1,203
"McCain, Bobby",CB,ACT,5'11,192
"Misi, Koa",OLB,RES,6'3,256
"Mitchell, Earl",DT,ACT,6'3,310
"Moore, Matt",QB,ACT,6'3,225
"Parker, DeVante",WR,ACT,6'3,212
"Paysinger, Spencer",LB,ACT,6'2,249
"Phillips, Jordan",DT,ACT,6'6,335
"Pitts, Lafayette",DB,ACT,5'10,196
"Pouncey, Mike",C,RES,6'5,299
"Rambo, Bacarri",FS,ACT,6'0,211
"Reilly, Trevor",LB,ACT,6'5,245
"Scott, Rashawn",WR,ACT,6'2,204
"Sims, Dion",TE,ACT,6'4,271
"Steen, Anthony",C,ACT,6'3,313
"Stills, Kenny",WR,ACT,6'0,195
"Suh, Ndamukong",DT,ACT,6'4,305
"Tannehill, Ryan",QB,ACT,6'4,216
"Thomas, Michael",FS,ACT,5'11,193
"Tunsil, Laremy",OG,ACT,6'5,316
"Urbik, Kraig",C,ACT,6'5,334
"Wake, Cameron",DE,ACT,6'3,263
"Williams, Nick",DT,ACT,6'4,309
"Williams, Damien",RB,ACT,5'11,228
"Williams, Mario",DE,ACT,6'6,300
"Yates, T.J.",QB,ACT,6'4,217
"Young, Sam",T,ACT,6'8,320
