Name,Pos,Status,Height,Weight
"Agholor, Nelson",WR,ACT,6'0,198
"Allen, Beau",DT,ACT,6'3,327
"Andrews, Josh",G,ACT,6'2,311
"Barbre, Allen",OG,ACT,6'4,310
"Barner, Kenjon",RB,RES,5'9,195
"Barwin, Connor",DE,ACT,6'4,264
"Bradham, Nigel",OLB,ACT,6'2,241
"Braman, Bryan",DE,ACT,6'5,241
"Brooks, Brandon",G,ACT,6'5,335
"Brooks, Ron",CB,RES,5'10,190
"Brooks, Terrence",DB,ACT,5'11,200
"Burton, Trey",TE,ACT,6'3,235
"Carroll, Nolan",CB,ACT,6'1,205
"Celek, Brent",TE,ACT,6'4,255
"Cox, Fletcher",DT,ACT,6'4,310
"Curry, Vinny",DE,ACT,6'3,279
"Daniel, Chase",QB,ACT,6'0,225
"Dorenbos, Jon",LS,RES,6'0,250
"Ertz, Zach",TE,ACT,6'5,250
"Goode, Najee",LB,ACT,6'0,244
"Gordon, Dillon",OG,ACT,6'4,322
"Graham, Brandon",DE,ACT,6'2,265
"Gratz, Dwayne",CB,ACT,5'11,199
"Green-Beckham, Dorial",WR,ACT,6'5,237
"Grugier-Hill, Kamu",OLB,ACT,6'2,220
"Hart, Taylor",DE,ACT,6'6,281
"Hicks, Jordan",MLB,ACT,6'1,236
"Jenkins, Malcolm",SS,ACT,6'0,204
"Johnson, Lane",T,ACT,6'6,317
"Jones, Donnie",P,ACT,6'2,221
"Kelce, Jason",C,ACT,6'3,295
"Kendricks, Mychal",OLB,ACT,6'0,240
"Logan, Bennie",DT,ACT,6'2,315
"Lovato, Rick",LS,ACT,6'2,249
"Maragos, Chris",FS,ACT,5'10,200
"Marshall, Byron",WR,ACT,5'9,201
"Mathews, Ryan",RB,RES,6'0,220
"Matthews, Jordan",WR,ACT,6'3,212
"McCalister, Alex",DE,RES,6'6,239
"McKelvin, Leodis",CB,ACT,5'10,185
"McLeod, Rodney",FS,ACT,5'10,195
"Means, Steven",DE,ACT,6'3,263
"Mills, Jalen",CB,ACT,6'0,191
"Peters, Jason",T,ACT,6'4,328
"Seumalo, Isaac",OG,ACT,6'4,303
"Smallwood, Wendell",RB,RES,5'10,208
"Smith, C.J.",CB,ACT,5'11,189
"Smith, Marcus",DE,ACT,6'3,251
"Sproles, Darren",RB,ACT,5'6,190
"Sturgis, Caleb",K,ACT,5'9,192
"Tobin, Matt",G,RES,6'6,290
"Treggs, Bryce",WR,ACT,5'10,185
"Tulloch, Stephen",OLB,ACT,5'11,245
"Turner, Paul",WR,ACT,5'10,193
"Vaeao, Destiny",DT,ACT,6'3,299
"Vaitai, Halapoulivaati",OT,ACT,6'6,320
"Walker, Joe",ILB,RES,6'2,236
"Watkins, Jaylen",DB,ACT,5'11,194
"Watson, Terrell",RB,ACT,6'1,240
"Wentz, Carson",QB,ACT,6'5,237
"Wisniewski, Stefen",OG,ACT,6'3,305
"Wujciak, Connor",DT,RES,6'2,291
