Name,Pos,Status,Height,Weight
"Adams, Andrew",FS,ACT,5'11,202
"Adams, Jerell",TE,ACT,6'5,247
"Apple, Eli",CB,ACT,6'1,199
"Beatty, Will",OT,ACT,6'6,319
"Beckham, Odell",WR,ACT,5'11,198
"Berhe, Nat",FS,ACT,6'0,194
"Bromley, Jay",DT,ACT,6'3,306
"Casillas, Jonathan",OLB,ACT,6'1,227
"Collins, Landon",SS,ACT,6'0,225
"Cruz, Victor",WR,ACT,6'0,204
"Darkwa, Orleans",RB,RES,6'0,215
"DeOssie, Zak",LS,ACT,6'4,249
"Donnell, Larry",TE,ACT,6'6,265
"Edwards, Ben",WR,RES,6'0,200
"Flowers, Ereck",OT,ACT,6'6,329
"Goodson, B.J.",OLB,ACT,6'0,242
"Gould, Robbie",K,ACT,6'0,190
"Hall, Leon",DB,ACT,5'11,195
"Hankins, Johnathan",DT,ACT,6'2,320
"Harris, Dwayne",WR,ACT,5'10,202
"Harrison, Damon",DT,ACT,6'4,350
"Hart, Bobby",OT,ACT,6'4,334
"Herzlich, Mark",OLB,ACT,6'4,246
"Jenkins, Janoris",CB,ACT,5'10,198
"Jennings, Rashad",RB,ACT,6'1,231
"Jerry, John",G,ACT,6'5,340
"Johnson, Will",RB,RES,6'2,240
"Johnson, Josh",QB,ACT,6'3,215
"Jones, Brett",OG,ACT,6'2,318
"Kennard, Devon",OLB,ACT,6'3,251
"King, Tavarres",WR,ACT,6'1,200
"LaCosse, Matt",TE,RES,6'5,261
"Lewis, Roger",WR,ACT,6'0,196
"Manning, Eli",QB,ACT,6'4,218
"Nassib, Ryan",QB,RES,6'2,223
"Newhouse, Marshall",OT,ACT,6'4,328
"Odighizuwa, Owa",DE,ACT,6'3,270
"Okwara, Romeo",DE,ACT,6'5,265
"Perkins, Paul",RB,ACT,5'10,208
"Pierre-Paul, Jason",DE,ACT,6'5,278
"Pinkins, Eric",DB,ACT,6'3,230
"Pugh, Justin",OG,ACT,6'4,301
"Rainey, Bobby",RB,ACT,5'8,212
"Richburg, Weston",C,ACT,6'3,298
"Robinson, Keenan",LB,ACT,6'3,238
"Rodgers-Cromartie, Dominique",CB,ACT,6'2,193
"Sensabaugh, Coty",CB,ACT,5'11,187
"Shepard, Sterling",WR,ACT,5'10,194
"Sheppard, Kelvin",MLB,ACT,6'2,249
"Skinner, Deontae",LB,ACT,6'2,250
"Thomas, J.T.",OLB,RES,6'1,236
"Thomas, Robert",NT,ACT,6'3,325
"Thompson, Mykkele",DB,RES,6'0,193
"Thompson, Darian",FS,RES,6'1,213
"Tye, Will",TE,ACT,6'2,262
"Unga, Uani'",LB,RES,6'1,233
"Vereen, Shane",RB,RES,5'10,205
"Vernon, Olivier",DE,ACT,6'2,275
"Wade, Trevin",CB,ACT,5'10,190
"Whitlock, Nikita",FB,RES,5'10,250
"Williams, Ishaq",DE,ACT,6'4,253
"Wing, Brad",P,ACT,6'3,205
"Winn, George",RB,ACT,5'11,215
"Wynn, Kerry",DE,ACT,6'5,264
