Name,Pos,Status,Height,Weight
"Adams, Tyrell",LB,ACT,6'2,228
"Alexander, Vadal",OT,ACT,6'5,326
"Allen, Nate",SS,ACT,6'0,210
"Amerson, David",CB,ACT,6'1,205
"Autry, Denico",DE,ACT,6'5,270
"Ball, Neiron",OLB,RES,6'3,235
"Bates, Daren",LB,ACT,5'11,225
"Calhoun, Shilique",LB,RES,6'5,251
"Carr, Derek",QB,ACT,6'3,215
"Carrie, T.J.",SS,ACT,6'0,205
"Condo, Jon",LS,ACT,6'3,240
"Cook, Connor",QB,ACT,6'4,217
"Cooper, Amari",WR,ACT,6'1,210
"Cowser, James",DE,ACT,6'3,247
"Crabtree, Michael",WR,ACT,6'1,215
"Edwards, Mario",DE,ACT,6'3,280
"Edwards, SaQwan",DB,RES,6'0,200
"Ellis, Justin",DT,ACT,6'2,335
"Feliciano, Jon",OG,ACT,6'4,325
"Hamilton, Antonio",DB,ACT,6'0,188
"Hayden, D.J.",CB,RES,5'11,190
"Heeney, Ben",MLB,RES,6'0,230
"Holmes, Andre",WR,ACT,6'4,210
"Holmes, Gabe",TE,RES,6'5,255
"Holton, Johnny",WR,ACT,6'1,188
"Howard, Austin",OT,ACT,6'7,330
"Hudson, Rodney",C,ACT,6'2,300
"Irvin, Bruce",OLB,ACT,6'3,250
"Jackson, Branden",DE,ACT,6'4,268
"Jackson, Gabe",G,ACT,6'3,335
"James, Cory",MLB,ACT,6'1,229
"Janikowski, Sebastian",K,ACT,6'1,265
"Jones, Taiwan",RB,ACT,6'0,195
"Joseph, Karl",SS,ACT,5'10,207
"King, Marquette",P,ACT,6'0,195
"Kirkland, Denver",OG,ACT,6'4,335
"Latham, Darius",DT,ACT,6'4,306
"Mack, Khalil",DE,ACT,6'3,250
"McDonald, Dexter",CB,ACT,6'1,200
"McGee, Stacy",DT,ACT,6'3,310
"McGill, Keith",SS,ACT,6'3,210
"McGloin, Matt",QB,ACT,6'1,210
"Murray, Latavius",RB,ACT,6'3,230
"Nelson, Reggie",FS,ACT,5'11,210
"Olawale, Jamize",FB,ACT,6'1,240
"Osemele, Kelechi",OG,ACT,6'5,330
"Penn, Donald",T,ACT,6'4,315
"Richard, Jalen",RB,ACT,5'8,207
"Riley, Perry",MLB,ACT,6'0,240
"Rivera, Mychal",TE,ACT,6'3,245
"Roberts, Seth",WR,ACT,6'2,195
"Smith, Sean",CB,ACT,6'3,220
"Smith, Aldon",OLB,SUS,6'4,265
"Smith, Lee",TE,RES,6'6,265
"Smith, Malcolm",OLB,ACT,6'0,225
"Trawick, Brynden",DB,ACT,6'2,225
"Walford, Clive",TE,ACT,6'4,250
"Ward, Jihad",DE,ACT,6'5,297
"Washington, DeAndre",RB,ACT,5'8,204
"Watson, Menelik",T,ACT,6'5,315
"Williams, Dan",DT,ACT,6'2,330
