Name,Pos,Status,Height,Weight
"Alexander, Maurice",FS,ACT,6'1,220
"Arkin, David",OG,ACT,6'5,307
"Austin, Tavon",WR,ACT,5'8,176
"Barnes, Tim",C,ACT,6'4,306
"Barron, Mark",OLB,ACT,6'2,213
"Britt, Kenny",WR,ACT,6'3,223
"Brockers, Michael",DT,ACT,6'5,326
"Brown, Jamon",OG,ACT,6'4,323
"Brown, Malcolm",RB,ACT,5'11,224
"Christian, Marqui",DB,RES,5'11,196
"Cooper, Pharoh",WR,ACT,5'11,207
"Countess, Blake",CB,ACT,5'9,184
"Cunningham, Benny",RB,RES,5'10,217
"Davis, Cody",FS,ACT,6'1,206
"Donald, Aaron",DT,ACT,6'1,285
"Donnal, Andrew",OT,ACT,6'6,316
"Easley, Dominique",DT,ACT,6'2,285
"Forrest, Josh",OLB,RES,6'3,249
"Fox, Morgan",DE,ACT,6'3,259
"Gaines, E.J.",CB,ACT,5'10,190
"Goff, Jared",QB,ACT,6'4,215
"Green, Aaron",RB,ACT,5'11,201
"Grigsby, Nicholas",LB,ACT,6'1,220
"Gurley, Todd",RB,ACT,6'1,227
"Hager, Bryce",ILB,ACT,6'1,235
"Harkey, Cory",TE,RES,6'4,259
"Havenstein, Rob",OT,ACT,6'7,321
"Hayes, William",DE,ACT,6'3,278
"Hekker, Johnny",P,ACT,6'5,236
"Hemingway, Temarrick",TE,ACT,6'5,244
"Higbee, Tyler",TE,ACT,6'4,243
"Hill, Troy",CB,ACT,5'10,182
"Johnson, Isaiah",SAF,ACT,6'1,202
"Johnson, Trumaine",CB,ACT,6'2,208
"Jordan, Michael",DB,ACT,6'0,200
"Joyner, Lamarcus",CB,ACT,5'8,184
"Keenum, Case",QB,ACT,6'1,205
"Kendricks, Lance",TE,ACT,6'3,250
"Laskey, Zach",FB,RES,6'2,225
"Littleton, Cory",OLB,ACT,6'3,227
"Longacre, Matt",DE,ACT,6'3,260
"Mannion, Sean",QB,ACT,6'6,233
"Marquez, Bradley",WR,RES,5'10,196
"McDonald, T.J.",SS,ACT,6'2,217
"McQuaide, Jake",LS,ACT,6'2,244
"McRoberts, Paul",WR,ACT,6'2,200
"Murphy, Pace",OT,ACT,6'6,295
"North, Marquez",WR,RES,6'4,216
"Ogletree, Alec",MLB,ACT,6'2,245
"Quick, Brian",WR,ACT,6'3,218
"Quinn, Robert",DE,RES,6'4,264
"Randolph, Brian",DB,RES,6'0,198
"Reynolds, Chase",RB,ACT,6'0,205
"Rhaney, Demetrius",OG,ACT,6'2,301
"Robinson, Greg",T,ACT,6'5,332
"Saffold, Rodger",G,ACT,6'5,332
"Sims, Eugene",DE,ACT,6'6,269
"Spruce, Nelson",WR,RES,6'1,205
"Thomas, Mike",WR,ACT,6'1,200
"Thomas, Cam",DT,ACT,6'4,335
"Trinca-Pasat, Louis",DT,RES,6'1,292
"Westbrooks, Ethan",DE,ACT,6'4,267
"Wichmann, Cody",OG,ACT,6'5,319
"Williams, Darrell",T,RES,6'4,301
"Zuerlein, Greg",K,ACT,6'0,196
