Name,Pos,Status,Height,Weight
"Armstead, Arik",DE,RES,6'7,292
"Armstrong, Ray-Ray",OLB,RES,6'3,220
"Balducci, Alex",C,ACT,6'4,310
"Ball, Marcus",DB,ACT,6'1,215
"Beadles, Zane",G,ACT,6'4,305
"Bell, Blake",TE,RES,6'6,252
"Bellore, Nick",ILB,RES,6'1,250
"Bethea, Antoine",SS,ACT,5'11,206
"Blair, Ronald",DE,ACT,6'3,270
"Bowman, NaVorro",ILB,RES,6'0,242
"Bradford, Carl",OLB,ACT,6'1,248
"Brock, Tramaine",CB,ACT,5'10,197
"Brooks, Ahmad",OLB,ACT,6'3,259
"Brown, Trent",OT,ACT,6'8,355
"Buckner, DeForest",DE,ACT,6'7,300
"Burbridge, Aaron",WR,ACT,6'0,208
"Carradine, Tank",LB,ACT,6'4,295
"Celek, Garrett",TE,ACT,6'5,252
"Cromartie, Marcus",CB,ACT,6'0,195
"Davis, Anthony",OT,EXE,6'5,323
"Davis, Chris",CB,RES,5'10,201
"Davis, Mike",RB,ACT,5'9,217
"Dawson, Phil",K,ACT,5'11,200
"Dial, Quinton",DE,ACT,6'5,318
"Dorsey, Glenn",NT,ACT,6'1,297
"Draughn, Shaun",RB,ACT,5'11,205
"Dray, Jim",TE,ACT,6'5,255
"Ellington, Bruce",WR,RES,5'9,197
"Gabbert, Blaine",QB,ACT,6'4,235
"Gardner, Andrew",OG,ACT,6'6,308
"Garnett, Joshua",OG,ACT,6'5,321
"Hamm, Je'Ron",TE,ACT,6'3,236
"Harold, Eli",OLB,ACT,6'3,265
"Harper, Chris",WR,ACT,5'11,185
"Harris, DuJuan",RB,ACT,5'7,206
"Hodges, Gerald",ILB,ACT,6'2,236
"Hyde, Carlos",RB,RES,6'0,235
"Iworah, Prince Charles",CB,ACT,5'10,193
"Jerod-Eddie, Tony",DE,ACT,6'5,301
"Johnson, Dontae",CB,ACT,6'2,200
"Jones, Chris",DE,ACT,6'1,295
"Kaepernick, Colin",QB,ACT,6'4,230
"Kerley, Jeremy",WR,ACT,5'9,188
"Kilgore, Daniel",C,RES,6'3,308
"Lewis, Thad",QB,RES,6'2,219
"Lynch, Aaron",OLB,ACT,6'5,270
"Martin, Marcus",C,RES,6'3,321
"McDonald, Vance",TE,RES,6'4,267
"McManis, Wynton",LB,ACT,6'1,225
"Moore, Zach",DE,ACT,6'6,280
"Mostert, Raheem",RB,ACT,5'10,197
"Nelson, Kyle",LS,ACT,6'2,240
"Patton, Quinton",WR,RES,6'0,204
"Pinion, Bradley",P,ACT,6'5,229
"Ponder, Christian",QB,ACT,6'2,230
"Purcell, Mike",NT,ACT,6'3,303
"Reaser, Keith",CB,ACT,6'0,190
"Redmond, Will",CB,RES,6'0,186
"Reid, Eric",FS,RES,6'1,213
"Robinson, Rashard",CB,ACT,6'1,177
"Rogers, Eric",WR,RES,6'3,210
"Shepherd, JaCorey",CB,ACT,5'11,199
"Skov, Shayne",ILB,RES,6'3,247
"Smelter, DeAndre",WR,ACT,6'2,227
"Smith, Torrey",WR,RES,6'0,205
"Staley, Joe",T,ACT,6'5,315
"Streater, Rod",WR,ACT,6'2,195
"Sunseri, Vinnie",DB,ACT,6'0,210
"Tartt, Jaquiski",FS,ACT,6'1,221
"Theus, John",OT,ACT,6'6,303
"Tiller, Andrew",G,ACT,6'4,324
"Ward, Jimmie",CB,RES,5'11,193
"Wilhoite, Michael",ILB,ACT,6'0,240
