Name,Pos,Status,Height,Weight
"Acho, Sam",OLB,ACT,6'3,260
"Adams, Mike",T,RES,6'7,323
"Addison, Bralon",WR,ACT,5'9,197
"Amos, Adrian",FS,ACT,6'0,214
"Anderson, Jonathan",OLB,ACT,6'1,235
"Banks, Johnthan",CB,ACT,6'2,185
"Barkley, Matt",QB,ACT,6'2,227
"Barth, Connor",K,ACT,5'11,200
"Becton, Nick",OT,RES,6'6,322
"Bellamy, Josh",WR,ACT,6'0,211
"Boykin, Brandon",DB,RES,5'10,182
"Braunecker, Ben",TE,ACT,6'4,255
"Braverman, Daniel",WR,ACT,5'10,185
"Brown, Daniel",TE,ACT,6'5,243
"Bullard, Jonathan",DE,ACT,6'3,290
"Bush, Deon",SS,ACT,6'0,200
"Callahan, Bryce",CB,ACT,5'9,191
"Carey, Ka'Deem",RB,ACT,5'10,215
"Cutler, Jay",QB,RES,6'3,231
"Fales, David",QB,ACT,6'1,212
"Ferguson, Ego",DE,RES,6'2,300
"Floyd, Leonard",OLB,ACT,6'3,240
"Freeman, Jerrell",ILB,ACT,6'0,236
"Fuller, Kyle",CB,RES,5'11,190
"Goldman, Eddie",NT,RES,6'4,320
"Grasu, Hroniss",C,RES,6'3,303
"Hall, Deiondre'",CB,ACT,6'2,201
"Hicks, Akiem",DE,ACT,6'5,336
"Houston, Lamarr",OLB,RES,6'3,274
"Houston-Carson, DeAndre",FS,ACT,6'1,203
"Howard, Jordan",RB,ACT,6'0,222
"Hoyer, Brian",QB,RES,6'2,215
"Hurst, Demontre",CB,ACT,5'10,191
"Jeffery, Alshon",WR,ACT,6'3,218
"Jones, Christian",OLB,ACT,6'3,251
"Jones-Quartey, Harold",SS,ACT,5'11,210
"Kush, Eric",OG,ACT,6'4,313
"Kwiatkoski, Nick",ILB,ACT,6'2,242
"Langford, Jeremy",RB,ACT,6'0,211
"Larsen, Ted",OG,ACT,6'2,315
"Lasike, Paul",FB,ACT,5'10,258
"LeBlanc, Crevon",CB,ACT,5'10,190
"Leno, Charles",T,ACT,6'3,305
"Long, Kyle",OG,RES,6'6,320
"Mason, Danny",LB,RES,6'3,235
"Massie, Bobby",T,ACT,6'6,320
"McCants, Matt",T,ACT,6'6,310
"McManis, Sherrick",CB,ACT,6'1,192
"McPhee, Pernell",OLB,ACT,6'3,273
"Meredith, Cameron",WR,ACT,6'3,207
"Miller, Zach",TE,RES,6'5,243
"O'Donnell, Pat",P,ACT,6'4,217
"Paulsen, Logan",TE,ACT,6'5,268
"Porter, Tracy",CB,ACT,5'11,200
"Prosinski, Chris",SS,ACT,6'1,213
"Pruitt, MyCole",TE,ACT,6'2,258
"Royal, Eddie",WR,RES,5'10,190
"Scales, Patrick",LS,ACT,6'4,242
"Shaw, Connor",QB,RES,6'1,210
"Shirley, Josh",LB,ACT,6'1,235
"Sitton, Josh",OG,ACT,6'3,318
"Sutton, Will",NT,RES,6'0,297
"Thompson, Deonte",WR,ACT,6'0,205
"Timu, John",ILB,ACT,6'0,245
"Trevathan, Danny",ILB,RES,6'1,239
"Unrein, Mitch",DE,ACT,6'4,299
"Washington, Cornelius",DE,ACT,6'4,292
"White, Kevin",WR,RES,6'3,216
"Whitehair, Cody",C,ACT,6'4,310
"Wilson, Marquess",WR,RES,6'4,206
"Wilson, C.J.",DE,ACT,6'3,290
"Young, Willie",OLB,ACT,6'4,258
