Name,Pos,Status,Height,Weight
"Adjei-Barimah, Jude",CB,RES,5'11,200
"Aguayo, Roberto",K,ACT,6'0,207
"Alexander, Kwon",MLB,ACT,6'1,227
"Anger, Bryan",P,ACT,6'3,205
"Ayers, Robert",DE,ACT,6'3,275
"Barber, Peyton",RB,ACT,5'10,225
"Benenoch, Caleb",OG,ACT,6'5,305
"Bond, Devante",OLB,RES,6'1,236
"Brate, Cameron",TE,RES,6'5,235
"Cherilus, Gosder",T,ACT,6'7,316
"Conte, Chris",SS,ACT,6'2,203
"Cross, Alan",RB,ACT,6'1,245
"David, Lavonte",OLB,ACT,6'1,233
"DePaola, Andrew",LS,ACT,6'2,230
"Dotson, Demar",T,ACT,6'9,315
"Dye, Donteea",WR,RES,6'0,195
"Elliott, Javien",DB,ACT,5'11,176
"Evans, Mike",WR,ACT,6'5,231
"Gholston, William",DE,ACT,6'6,281
"Glanton, Adarius",OLB,ACT,6'1,230
"Glennon, Mike",QB,ACT,6'6,225
"Gottschalk, Ben",OG,RES,6'5,293
"Griffin, Ryan",QB,ACT,6'5,210
"Grimes, Brent",CB,ACT,5'10,185
"Hansbrough, Russell",RB,ACT,5'8,195
"Hargreaves, Vernon",CB,ACT,5'10,204
"Hawley, Joe",C,ACT,6'3,302
"Huff, Josh",WR,ACT,5'11,206
"Hughes, John",DE,ACT,6'2,320
"Humphries, Adam",WR,ACT,5'11,195
"Jackson, Vincent",WR,RES,6'5,230
"Johnson, George",DE,RES,6'4,265
"Johnson, Austin",FB,ACT,6'2,240
"Jones, Howard",DE,RES,6'4,238
"Lambert, DaVonte",DE,ACT,6'2,282
"Lynch, Cameron",LB,ACT,6'0,229
"Marpet, Ali",OG,ACT,6'4,307
"Martin, Doug",RB,SUS,5'9,223
"Martino, Freddie",WR,ACT,6'0,195
"McCoy, Gerald",DT,ACT,6'4,300
"McDonald, Clinton",DT,ACT,6'2,297
"McDougald, Bradley",FS,ACT,6'1,209
"Myers, Brandon",TE,ACT,6'3,256
"Pamphile, Kevin",OG,ACT,6'5,310
"Reedy, Bernard",WR,ACT,5'9,175
"Robinson, Josh",DB,ACT,5'10,200
"Rodgers, Jacquizz",RB,ACT,5'6,205
"Russell, Ryan",DE,ACT,6'5,275
"Shepard, Russell",WR,ACT,6'1,195
"Shorts, Cecil",WR,RES,6'0,202
"Siliga, Sealver",DT,ACT,6'2,325
"Sims, Charles",RB,RES,6'0,211
"Smith, Daryl",OLB,ACT,6'2,250
"Smith, Ryan",CB,ACT,5'11,189
"Smith, Antone",RB,RES,5'9,192
"Smith, Donovan",OT,ACT,6'6,338
"Smith, Evan",OG,ACT,6'2,308
"Smith, Jacquies",DE,RES,6'2,260
"Spence, Noah",DE,ACT,6'2,251
"Spence, Akeem",DT,ACT,6'1,307
"Stocker, Luke",TE,ACT,6'5,253
"Sweezy, J.R.",OG,PUP,6'5,298
"Tandy, Keith",SS,ACT,5'10,205
"Verner, Alterraun",CB,ACT,5'10,187
"Ward, Channing",DT,ACT,6'4,279
"Wester, Leonard",OT,ACT,6'6,305
"Winston, Jameis",QB,ACT,6'4,231
