Name,Pos,Status,Height,Weight
"Addae, Jahleel",SS,ACT,5'10,195
"Allen, Keenan",WR,RES,6'2,211
"Attaochu, Jeremiah",OLB,RES,6'3,252
"Barksdale, Joe",T,ACT,6'5,326
"Benjamin, Travis",WR,ACT,5'10,175
"Bosa, Joey",DE,ACT,6'5,280
"Brown, Jatavis",ILB,ACT,5'11,221
"Burse, Isaiah",WR,ACT,5'10,187
"Burwell, Tyreek",OT,ACT,6'6,310
"Butler, Jeremy",WR,ACT,6'2,213
"Carlis, Zamir",DT,RES,6'4,275
"Carrethers, Ryan",NT,ACT,6'1,333
"Clark, Donavon",OG,RES,6'4,315
"Clemens, Kellen",QB,ACT,6'2,220
"Cleveland, Asante",TE,ACT,6'5,260
"Cumberland, Jeff",TE,RES,6'4,260
"Davis, Geremy",WR,ACT,6'2,217
"Dunlap, King",T,ACT,6'9,330
"Dzubnar, Nick",LB,RES,6'1,240
"Emanuel, Kyle",OLB,ACT,6'3,250
"Eulls, Kaleb",DT,ACT,6'4,309
"Farrow, Kenneth",RB,RES,5'9,219
"Fields, Carlos",LB,ACT,6'1,248
"Flowers, Brandon",CB,RES,5'9,187
"Fluker, D.J.",OG,ACT,6'5,339
"Franklin, Orlando",OG,ACT,6'6,315
"Gates, Antonio",TE,ACT,6'4,255
"Gordon, Melvin",RB,ACT,6'1,215
"Hairston, Chris",OT,ACT,6'6,330
"Hayward, Casey",CB,ACT,5'11,192
"Hekking, Brock",LB,RES,6'3,250
"Henry, Hunter",TE,ACT,6'5,250
"Herndon, Javontee",WR,RES,6'0,194
"Hillman, Ronnie",RB,ACT,5'10,195
"Ingram, Melvin",OLB,ACT,6'2,247
"Inman, Dontrelle",WR,ACT,6'3,205
"Johnson, Steve",WR,RES,6'2,207
"Johnstone, Tyler",OT,RES,6'5,301
"Kaser, Drew",P,ACT,6'2,206
"Lambo, Josh",K,ACT,6'0,215
"Landrum, Chris",LB,ACT,6'2,245
"Lissemore, Sean",NT,RES,6'3,303
"Liuget, Corey",DE,ACT,6'2,300
"Lowery, Dwight",FS,ACT,5'11,212
"Mager, Craig",CB,RES,5'11,200
"McClain, Robert",CB,ACT,5'9,195
"McCoil, Dexter",SS,ACT,6'4,220
"McGrath, Sean",TE,ACT,6'5,259
"Mebane, Brandon",NT,RES,6'1,311
"Oliver, Branden",RB,RES,5'8,208
"Palepoi, Tenny",DE,SUS,6'1,298
"Perry, Joshua",ILB,ACT,6'4,253
"Perryman, Denzel",ILB,ACT,5'11,240
"Phillips, Adrian",SS,ACT,5'11,210
"Philon, Darius",DE,ACT,6'1,300
"Pulley, Spencer",C,ACT,6'4,308
"Reed, Trovon",CB,ACT,6'0,191
"Reid, Caraun",DT,RES,6'2,298
"Rivers, Philip",QB,ACT,6'5,228
"Slauson, Matt",C,ACT,6'5,315
"Square, Damion",NT,ACT,6'2,293
"Stuckey, Darrell",DB,ACT,5'11,212
"Te'o, Manti",ILB,RES,6'1,241
"Toomer, Korey",ILB,ACT,6'2,235
"Tuerk, Max",C,ACT,6'5,298
"Verrett, Jason",CB,RES,5'10,188
"Watt, Derek",FB,ACT,6'2,234
"Wiggins, Kenny",OG,ACT,6'6,314
"Williams, Tourek",OLB,ACT,6'4,262
"Williams, Tyrell",WR,ACT,6'4,205
"Williams, Trevor",CB,ACT,5'11,191
"Williams, Andre",RB,ACT,6'0,220
"Windt, Mike",LS,ACT,6'1,237
"Woodhead, Danny",RB,RES,5'8,200
