Name,Pos,Status,Height,Weight
"Acker, Kenneth",CB,ACT,6'0,195
"Alexander, D.J.",ILB,ACT,6'2,233
"Bailey, Allen",DE,RES,6'3,288
"Barnes, T.J.",DT,ACT,6'7,364
"Berry, Eric",SS,ACT,6'0,212
"Bray, Tyler",QB,ACT,6'6,215
"Charles, Jamaal",RB,RES,5'11,199
"Colquitt, Dustin",P,ACT,6'3,210
"Conley, Chris",WR,ACT,6'3,205
"Cook, Kenny",WR,RES,6'4,218
"Davis, Knile",RB,ACT,5'10,227
"Duvernay-Tardif, Laurent",OG,ACT,6'5,321
"Ehinger, Parker",OG,RES,6'6,310
"Fisher, Eric",T,ACT,6'7,315
"Foles, Nick",QB,ACT,6'6,243
"Ford, Dee",OLB,ACT,6'2,252
"Fulton, Zach",G,ACT,6'5,316
"Gaines, Phillip",CB,ACT,6'0,193
"Hali, Tamba",OLB,ACT,6'3,275
"Harris, Demetrius",TE,ACT,6'7,230
"Harris, Vernon",DB,RES,6'1,197
"Hill, Tyreek",WR,ACT,5'10,185
"Houston, Justin",OLB,ACT,6'3,258
"Howard, Jaye",DE,RES,6'3,301
"Jenkins, Jarvis",DT,ACT,6'4,300
"Johnson, Derrick",ILB,RES,6'3,242
"Jones, Chris",DE,ACT,6'5,310
"Kelce, Travis",TE,ACT,6'5,260
"Maclin, Jeremy",WR,ACT,6'0,198
"March-Lillard, Justin",ILB,ACT,6'0,222
"Mauga, Josh",ILB,RES,6'1,245
"Millard, Trey",FB,RES,6'2,247
"Mitchell, Terrance",DB,ACT,5'11,190
"Morse, Mitch",C,ACT,6'6,305
"Murray, Eric",CB,ACT,5'11,199
"Nelson, Steven",CB,ACT,5'11,194
"Nicolas, Dadi",LB,RES,6'3,235
"Nunez-Roches, Rakeem",DT,ACT,6'2,307
"O'Shaughnessy, James",TE,ACT,6'4,245
"Ochi, Victor",LB,ACT,6'1,242
"Parker, Ron",FS,ACT,6'0,206
"Person, Mike",OG,ACT,6'4,300
"Peters, Marcus",CB,ACT,6'0,197
"Poe, Dontari",NT,ACT,6'3,346
"Reid, Jah",OG,ACT,6'7,325
"Reyes, Kendall",DT,ACT,6'4,300
"Robinson, Demarcus",WR,ACT,6'1,203
"Santos, Cairo",K,ACT,5'8,160
"Schwartz, Mitchell",OT,ACT,6'5,320
"Sherman, Anthony",FB,ACT,5'10,242
"Smith, Terrance",ILB,ACT,6'2,235
"Smith, Alex",QB,ACT,6'4,217
"Sorensen, Daniel",DB,ACT,6'2,208
"Thomas, De'Anthony",WR,ACT,5'8,176
"Travis, Ross",TE,ACT,6'7,235
"Ware, Spencer",RB,ACT,5'10,229
"West, Charcandrick",RB,ACT,5'10,205
"White, D.J.",CB,ACT,5'11,193
"Wilson, Albert",WR,ACT,5'9,200
"Wilson, Ramik",ILB,ACT,6'2,237
"Winchester, James",LS,ACT,6'3,240
"Witzmann, Bryan",OT,ACT,6'7,320
"Zombo, Frank",OLB,ACT,6'3,254
