Name,Pos,Status,Height,Weight
"Ash, Richard",NT,ACT,6'3,333
"Bailey, Dan",K,ACT,6'0,195
"Baldwin, Darryl",T,RES,6'6,305
"Beasley, Cole",WR,ACT,5'8,180
"Brown, Chris",WR,RES,6'2,195
"Brown, Anthony",CB,ACT,5'11,192
"Bryant, Dez",WR,ACT,6'2,220
"Butler, Brice",WR,ACT,6'3,215
"Carr, Brandon",CB,ACT,6'0,210
"Church, Barry",SS,ACT,6'2,218
"Claiborne, Morris",CB,ACT,5'11,192
"Cleary, Emmett",T,ACT,6'7,324
"Collins, Maliek",DT,ACT,6'2,311
"Collins, La'el",OG,RES,6'4,321
"Cooper, Jonathan",OG,ACT,6'2,310
"Crawford, Jack",DE,ACT,6'5,288
"Crawford, Tyrone",DE,ACT,6'4,285
"Davis, Ryan",LB,RES,6'2,275
"Dunbar, Lance",RB,ACT,5'8,195
"Durant, Justin",LB,ACT,6'1,230
"Elliott, Ezekiel",RB,ACT,6'0,225
"Escobar, Gavin",TE,ACT,6'6,260
"Frazier, Kavon",SS,ACT,6'0,217
"Frederick, Travis",C,ACT,6'4,318
"Free, Doug",T,ACT,6'6,318
"Gachkar, Andrew",OLB,ACT,6'2,224
"Green, Chaz",OT,RES,6'5,300
"Gregory, Randy",DE,SUS,6'5,255
"Hanna, James",TE,PUP,6'4,260
"Heath, Jeff",SS,ACT,6'1,212
"Hitchens, Anthony",MLB,ACT,6'0,235
"Irving, David",DT,ACT,6'7,273
"Jones, Byron",FS,ACT,6'0,199
"Jones, Chris",P,ACT,6'0,205
"LaDouceur, L.P.",LS,ACT,6'5,256
"Lawrence, Demarcus",DE,ACT,6'3,270
"Leary, Ronald",G,ACT,6'3,320
"Lee, Sean",OLB,ACT,6'2,238
"Looney, Joe",OG,ACT,6'3,315
"Martin, Zack",G,ACT,6'4,310
"Mayowa, Benson",DE,ACT,6'3,240
"McClain, Rolando",MLB,SUS,6'4,255
"McClain, Terrell",DT,ACT,6'2,302
"McFadden, Leon",DB,ACT,5'10,190
"McFadden, Darren",RB,ACT,6'1,220
"Moore, Kellen",QB,RES,6'0,200
"Morris, James",LB,RES,6'1,245
"Morris, Alfred",RB,ACT,5'10,224
"Nzeocha, Mark",OLB,ACT,6'3,239
"Prescott, Dak",QB,ACT,6'2,226
"Romo, Tony",QB,ACT,6'2,230
"Sanchez, Mark",QB,ACT,6'2,225
"Scandrick, Orlando",CB,ACT,5'10,196
"Smith, Keith",FB,ACT,6'0,232
"Smith, Tyron",T,ACT,6'5,320
"Swaim, Geoff",TE,RES,6'4,260
"Tapper, Charles",DE,RES,6'2,271
"Thornton, Cedric",DT,ACT,6'4,309
"Whitehead, Lucky",WR,ACT,5'9,180
"Wilber, Kyle",OLB,ACT,6'4,245
"Wilcox, J.J.",SS,ACT,6'0,212
"Williams, Terrance",WR,ACT,6'2,210
"Wilson, Damien",OLB,ACT,6'1,243
"Witten, Jason",TE,ACT,6'6,263
