Name,Pos,Status,Height,Weight
"Allen, Antonio",DB,RES,6'1,210
"Anderson, Robby",WR,ACT,6'3,190
"Bishop, Freddie",OLB,ACT,6'3,255
"Bostick, Brandon",TE,ACT,6'3,250
"Bowman, Braedon",TE,RES,6'3,240
"Bryant, Brandin",DT,ACT,6'2,289
"Burks, Brandon",RB,ACT,5'9,208
"Burris, Juston",CB,ACT,6'0,212
"Carpenter, James",G,ACT,6'5,321
"Carter, Bruce",OLB,ACT,6'2,240
"Catapano, Mike",OLB,RES,6'4,270
"Clady, Ryan",T,RES,6'6,315
"Davis, Kellen",TE,RES,6'7,265
"Decker, Eric",WR,RES,6'3,214
"Dozier, Dakota",OG,ACT,6'4,313
"Edwards, Lac",P,ACT,6'4,209
"Enunwa, Quincy",WR,ACT,6'2,225
"Fitzpatrick, Ryan",QB,ACT,6'2,223
"Folk, Nick",K,ACT,6'1,222
"Forte, Matt",RB,RES,6'2,218
"Giacomini, Breno",T,RES,6'7,318
"Gilchrist, Marcus",FS,RES,5'10,198
"Hackenberg, Christian",QB,ACT,6'4,228
"Harris, David",MLB,ACT,6'2,250
"Hawkins, Donald",OT,ACT,6'4,310
"Ijalana, Ben",T,ACT,6'4,322
"Jenkins, Jordan",OLB,ACT,6'3,259
"Johnson, Wesley",C,ACT,6'5,297
"Johnson, Anthony",DT,ACT,6'2,295
"Johnson, Randell",OLB,ACT,6'4,245
"Keeton, Bryson",DB,ACT,6'2,190
"Lee, Darron",ILB,ACT,6'1,232
"Lemonier, Corey",OLB,ACT,6'3,255
"Mangold, Nick",C,RES,6'4,307
"Marshall, Jalin",WR,ACT,5'10,200
"Marshall, Brandon",WR,ACT,6'4,230
"Marshall, Nick",CB,ACT,6'1,206
"Martin, Josh",LB,ACT,6'3,245
"Martin, Ronald",SS,ACT,6'2,220
"Mauldin, Lorenzo",OLB,ACT,6'4,259
"McDougle, Dexter",CB,ACT,5'10,195
"McLendon, Steve",DT,ACT,6'3,310
"Middleton, Doug",DB,ACT,6'0,210
"Miles, Rontez",FS,ACT,6'0,203
"Morris, Romar",RB,RES,5'10,190
"Obioha, Julien",DE,RES,6'4,280
"Peake, Charone",WR,ACT,6'2,209
"Petty, Bryce",QB,RES,6'3,230
"Powell, Bilal",RB,ACT,5'10,204
"Pryor, Calvin",SS,ACT,5'11,207
"Purdum, Tanner",LS,ACT,6'3,270
"Qvale, Brent",T,ACT,6'7,315
"Revis, Darrelle",CB,ACT,5'11,198
"Richardson, Sheldon",DE,ACT,6'3,294
"Roberts, Darryl",CB,ACT,6'0,182
"Robinson, Khiry",RB,RES,6'0,220
"Seferian-Jenkins, Austin",TE,ACT,6'5,262
"Shell, Brandon",OT,ACT,6'5,324
"Simon, Deon",DT,ACT,6'3,332
"Skrine, Buster",CB,ACT,5'9,185
"Smith, Devin",WR,ACT,6'1,199
"Smith, Geno",QB,RES,6'3,221
"Stanford, Julian",ILB,RES,6'1,230
"Thomas, Lawrence",DE,RES,6'3,286
"Tomlinson, Eric",TE,ACT,6'6,263
"Watts, Craig",OG,ACT,6'3,335
"Wilds, Brandon",RB,ACT,6'0,220
"Wilkerson, Muhammad",DE,ACT,6'4,315
"Williams, Leonard",NT,ACT,6'5,302
"Williams, Marcus",CB,ACT,5'11,196
"Winters, Brian",G,RES,6'4,320
