Name,Pos,Status,Height,Weight
"Adams, Davante",WR,ACT,6'1,215
"Allison, Geronimo",WR,ACT,6'3,202
"Bakhtiari, David",T,ACT,6'4,310
"Barclay, Don",OG,ACT,6'4,305
"Brice, Kentrell",DB,ACT,5'11,200
"Bulaga, Bryan",T,ACT,6'5,314
"Burnett, Morgan",SS,ACT,6'1,209
"Callahan, Joe",QB,ACT,6'1,216
"Clark, Kenny",NT,ACT,6'2,314
"Clinton-Dix, Ha Ha",FS,ACT,6'1,208
"Cobb, Randall",WR,ACT,5'10,192
"Cook, Jared",TE,ACT,6'5,254
"Crockett, John",RB,RES,6'0,217
"Crosby, Mason",K,ACT,6'1,207
"Daniels, Mike",DE,ACT,6'0,310
"Davis, Trevor",WR,ACT,6'1,188
"Dorleant, Makinton",DB,RES,5'11,182
"Elliott, Jay",LB,ACT,6'3,255
"Evans, Marwin",DB,ACT,5'11,211
"Fackrell, Kyler",OLB,ACT,6'5,245
"Goode, Brett",LS,ACT,6'1,255
"Goodson, Demetri",CB,RES,5'11,197
"Guion, Letroy",DE,ACT,6'4,322
"Gunter, LaDarius",CB,ACT,6'2,201
"Hawkins, Josh",CB,ACT,5'10,189
"Hundley, Brett",QB,ACT,6'3,226
"Hyde, Micah",SS,ACT,6'0,197
"Jackson, Don",RB,RES,5'10,209
"Janis, Jeff",WR,ACT,6'3,219
"Jones, Datone",OLB,ACT,6'4,285
"Kerridge, Joe",RB,ACT,5'11,242
"Lacy, Eddie",RB,RES,5'11,234
"Lang, T.J.",G,ACT,6'4,318
"Linsley, Corey",C,ACT,6'3,301
"Lowry, Dean",DE,ACT,6'6,296
"Martinez, Blake",ILB,ACT,6'2,237
"Matthews, Clay",OLB,ACT,6'3,255
"McCaffrey, Max",WR,ACT,6'2,196
"Michael, Christine",RB,ACT,5'10,221
"Montgomery, Ty",RB,ACT,6'0,216
"Murphy, Kyle",OT,ACT,6'6,305
"Nelson, Jordy",WR,ACT,6'3,217
"Peppers, Julius",OLB,ACT,6'7,287
"Perry, Nick",OLB,ACT,6'3,265
"Randall, Damarious",CB,ACT,5'11,196
"Ringo, Christian",DE,ACT,6'1,298
"Ripkowski, Aaron",FB,ACT,6'1,246
"Rodgers, Aaron",QB,ACT,6'2,225
"Rodgers, Richard",TE,ACT,6'4,257
"Rollins, Quinten",CB,ACT,5'11,195
"Ryan, Jake",ILB,ACT,6'2,240
"Schum, Jacob",P,ACT,5'10,211
"Shields, Sam",CB,RES,5'11,184
"Spriggs, Jason",OG,ACT,6'6,301
"Starks, James",RB,ACT,6'2,218
"Taylor, Lane",G,ACT,6'3,324
"Thomas, Joe",ILB,ACT,6'1,227
"Tretter, JC",C,RES,6'4,307
"Tripp, Jordan",OLB,ACT,6'4,244
"Waters, Herb",WR,ACT,6'0,188
