Name,Pos,Status,Height,Weight
"Addison, Mario",DE,ACT,6'3,260
"Alecxih, Chas",DT,RES,6'4,295
"Anderson, Derek",QB,ACT,6'6,235
"Artis-Payne, Cameron",RB,ACT,5'10,220
"Benjamin, Kelvin",WR,ACT,6'5,245
"Bersin, Brenton",WR,ACT,6'3,210
"Boston, Tre",FS,RES,6'1,205
"Bradberry, James",CB,ACT,6'1,210
"Brown, Corey",WR,ACT,5'11,190
"Butler, Vernon",DT,ACT,6'4,325
"Byrd, LaRon",WR,RES,6'4,225
"Byrd, Damiere",WR,ACT,5'9,180
"Cash, Jeremy",LB,ACT,6'0,215
"Coleman, Kurt",SS,ACT,5'11,200
"Davis, Thomas",OLB,ACT,6'1,235
"Delaire, Ryan",DE,RES,6'4,265
"Dickson, Ed",TE,ACT,6'4,255
"Dixon, Travell",DB,ACT,6'1,210
"Ealy, Kony",DE,ACT,6'4,275
"France, Dan",OL,ACT,6'6,312
"Funchess, Devin",WR,RES,6'4,225
"Gano, Graham",K,ACT,6'2,205
"Ginn, Ted",WR,ACT,5'11,180
"Gradkowski, Gino",C,RES,6'3,300
"Green-Thompson, Shaq",OLB,ACT,6'0,230
"Griffin, Michael",FS,ACT,6'0,215
"Horton, Wes",DE,ACT,6'5,265
"Jacobs, Ben",LB,ACT,6'4,240
"Jansen, J.J.",LS,ACT,6'2,240
"Johnson, Devon",RB,RES,6'0,245
"Johnson, Charles",DE,ACT,6'2,275
"Johnson, Leonard",DB,ACT,5'10,200
"Jones, Colin",FS,ACT,6'0,205
"Kalil, Ryan",C,RES,6'2,300
"Klein, A.J.",MLB,ACT,6'1,240
"Kuechly, Luke",MLB,ACT,6'3,238
"Larsen, Tyler",C,ACT,6'4,335
"Lee, Andy",P,RES,6'1,185
"Lotulelei, Star",DT,ACT,6'2,315
"Love, Kyle",DE,ACT,6'1,315
"Manhertz, Chris",TE,ACT,6'6,255
"Marlowe, Dean",FS,RES,6'1,210
"Mayo, David",LB,ACT,6'2,245
"Newton, Cam",QB,ACT,6'5,245
"Norris, Jared",ILB,ACT,6'1,240
"Norwell, Andrew",G,ACT,6'6,325
"Oher, Michael",T,RES,6'4,315
"Olsen, Greg",TE,ACT,6'5,255
"Palardy, Michael",P,ACT,5'11,191
"Remmers, Mike",T,ACT,6'5,310
"Rigsbee, Jordan",OG,RES,6'4,315
"Sanchez, Zack",CB,RES,5'11,185
"Scott, Chris",G,ACT,6'4,340
"Short, Kawann",DT,ACT,6'3,315
"Soliai, Paul",DE,ACT,6'4,345
"Stewart, Jonathan",RB,ACT,5'10,240
"Tolbert, Mike",FB,ACT,5'9,250
"Turner, Trai",G,ACT,6'3,310
"Webb, Joe",QB,ACT,6'4,235
"Webster, Larry",DE,ACT,6'6,272
"Wendell, Ryan",G,ACT,6'2,300
"Whittaker, Fozzy",RB,ACT,5'10,205
"Williams, Daryl",OT,ACT,6'6,335
"Williams, Teddy",DB,RES,6'1,210
"Worley, Daryl",CB,ACT,6'1,205
"Yankey, David",OG,ACT,6'6,310
"Young, Lou",DB,ACT,6'0,205
