Name,Pos,Status,Height,Weight
"Aiken, Kamar",WR,ACT,6'2,215
"Allen, Javorius",RB,ACT,6'0,222
"Arrington, Kyle",CB,RES,5'10,186
"Beyer, Brennen",LB,ACT,6'3,256
"Boyle, Nick",TE,ACT,6'4,260
"Campanaro, Michael",WR,ACT,5'9,191
"Canady, Maurice",CB,RES,6'1,193
"Correa, Kamalei",ILB,RES,6'3,250
"Cox, Morgan",LS,ACT,6'4,233
"Davis, Carl",DE,RES,6'5,327
"Dixon, Kenneth",RB,ACT,5'10,212
"Ducasse, Vladimir",OG,ACT,6'5,325
"Dumervil, Elvis",OLB,ACT,5'11,250
"Elam, Matt",SS,ACT,5'10,208
"Flacco, Joe",QB,ACT,6'6,245
"Gillmore, Crockett",TE,ACT,6'6,260
"Guy, Lawrence",DE,ACT,6'4,305
"Henry, Willie",DT,RES,6'3,300
"Huff, Marqueston",DB,ACT,5'11,196
"Hurst, James",T,ACT,6'5,312
"Jensen, Ryan",OG,ACT,6'4,310
"Jernigan, Timmy",DE,ACT,6'2,295
"Judon, Matt",LB,ACT,6'3,275
"Juszczyk, Kyle",FB,ACT,6'1,240
"Kaufusi, Bronson",DE,RES,6'6,285
"Koch, Sam",P,ACT,6'1,222
"Levine, Anthony",CB,ACT,5'11,200
"Lewis, Alex",OG,ACT,6'6,315
"Lewis, Kendrick",FS,RES,6'0,205
"Lewis-Harris, Chris",CB,ACT,5'10,185
"Louis, Lamar",LB,ACT,5'11,232
"Luckett, Cavellis",LB,RES,6'0,245
"Mallett, Ryan",QB,ACT,6'6,250
"Matthews, Chris",WR,RES,6'5,228
"Mayle, Vince",WR,ACT,6'2,228
"McClellan, Albert",OLB,ACT,6'2,250
"Moore, Chris",WR,ACT,6'1,200
"Mosley, C.J.",ILB,ACT,6'2,241
"Nembot, Stephane",OT,RES,6'6,320
"Onwuasor, Patrick",ILB,ACT,6'0,217
"Orr, Zach",ILB,RES,6'0,225
"Perriman, Breshad",WR,ACT,6'2,215
"Pierce, Michael",DE,ACT,6'0,339
"Pitta, Dennis",TE,ACT,6'4,238
"Powers, Jerraud",DB,ACT,5'10,193
"Price, Sheldon",CB,RES,6'2,194
"Reynolds, Keenan",WR,ACT,5'10,190
"Rolle, Jumal",DB,RES,6'0,190
"Smith, Jimmy",CB,RES,6'2,210
"Smith, Steve",WR,ACT,5'9,195
"Smith, Za'Darius",OLB,ACT,6'4,275
"Stanley, Ronnie",OT,ACT,6'6,320
"Suggs, Terrell",OLB,ACT,6'3,265
"Taliaferro, Lorenzo",RB,RES,6'0,225
"Tucker, Justin",K,ACT,6'1,180
"Urban, Brent",DE,ACT,6'7,300
"Urschel, John",OG,ACT,6'3,300
"Wagner, Ricky",T,ACT,6'6,310
"Wallace, Mike",WR,ACT,6'0,205
"Waller, Darren",TE,ACT,6'6,255
"Watson, Benjamin",TE,RES,6'3,251
"Webb, Lardarius",FS,ACT,5'10,182
"Weddle, Eric",SS,ACT,5'11,195
"Wesley, DeOndre",T,RES,6'6,326
"West, Terrance",RB,ACT,5'10,225
"Williams, Brandon",NT,ACT,6'1,340
"Williams, Maxx",TE,RES,6'4,257
"Wright, Shareece",CB,ACT,5'11,184
"Yanda, Marshal",G,ACT,6'3,305
"Young, Tavon",CB,ACT,5'9,177
"Zuttah, Jeremy",C,ACT,6'4,300
