Name,Pos,Status,Height,Weight
"Baker, Chris",DE,ACT,6'2,320
"Bates, Houston",LB,RES,6'3,252
"Blackmon, Will",FS,ACT,6'0,212
"Bowen, Kevin",OT,RES,6'9,335
"Breeland, Bashaud",CB,ACT,5'11,200
"Brown, Mack",RB,ACT,5'11,215
"Carrier, Derek",TE,ACT,6'4,248
"Compton, Will",ILB,ACT,6'1,238
"Cousins, Kirk",QB,ACT,6'3,210
"Cravens, Su'a",ILB,ACT,6'1,222
"Crowder, Jamison",WR,ACT,5'8,182
"Daniels, Steven",ILB,RES,5'11,245
"Davis, Vernon",TE,ACT,6'3,248
"Diggs, Reggie",WR,RES,6'4,215
"Doctson, Josh",WR,RES,6'2,206
"Dunbar, Quinton",CB,ACT,6'2,203
"Evans, Josh",DB,ACT,6'0,198
"Everett, Deshazor",CB,ACT,6'0,198
"Foster, Mason",ILB,ACT,6'1,250
"Fuller, Kendall",CB,ACT,5'11,196
"Garcon, Pierre",WR,ACT,6'0,211
"Garvin, Terence",LB,ACT,6'3,235
"Golston, Kedric",DE,RES,6'4,330
"Grant, Ryan",WR,ACT,6'0,201
"Hall, DeAngelo",FS,RES,5'10,202
"Harris, Maurice",WR,ACT,6'2,200
"Hood, Ziggy",NT,ACT,6'3,305
"Hopkins, Dustin",K,ACT,6'2,206
"Ihenacho, Duke",FS,ACT,6'1,208
"Ioannidis, Matthew",DT,ACT,6'3,308
"Jackson, DeSean",WR,ACT,5'10,175
"Jackson, Tanard",DB,SUS,6'0,193
"Jean Francois, Ricky",DE,ACT,6'3,313
"Jenkins, Cullen",DT,ACT,6'2,305
"Jones, Matt",RB,ACT,6'2,232
"Kelley, Rob",RB,ACT,6'0,228
"Kerrigan, Ryan",OLB,ACT,6'4,265
"Kouandjio, Arie",OG,ACT,6'5,325
"Lanier, Anthony",DE,RES,6'6,282
"Lauvao, Shawn",G,ACT,6'3,326
"Lichtensteiger, Kory",C,ACT,6'2,295
"Long, Spencer",C,ACT,6'5,324
"Marshall, Keith",RB,RES,5'11,222
"McCoy, Colt",QB,ACT,6'1,215
"Moses, Morgan",T,ACT,6'6,335
"Murphy, Trent",DE,ACT,6'5,290
"Norman, Josh",CB,ACT,6'0,200
"Nsekhe, Ty",T,ACT,6'8,335
"Painter, Vinston",OT,ACT,6'4,322
"Paul, Niles",TE,RES,6'1,242
"Phillips, Dashaun",DB,ACT,5'11,190
"Reed, Jordan",TE,ACT,6'2,246
"Scherff, Brandon",OG,ACT,6'5,323
"Smith, Preston",OLB,ACT,6'5,268
"Spaight, Martrell",OLB,ACT,6'0,238
"Sudfeld, Nate",QB,ACT,6'6,235
"Sullivan, John",C,ACT,6'4,310
"Sundberg, Nick",LS,ACT,6'0,245
"Thompson, Chris",RB,ACT,5'8,195
"Toler, Greg",DB,ACT,6'0,180
"Trail, Lynden",LB,ACT,6'6,270
"Vigil, Zach",OLB,ACT,6'2,240
"Way, Tress",P,ACT,6'1,225
"Whitner, Donte",SS,RES,5'10,208
"Williams, Trent",T,ACT,6'5,320
