Name,Pos,Status,Height,Weight
"Abdesmad, Mehdi",DE,RES,6'6,284
"Amaro, Jace",TE,ACT,6'5,265
"Andrews, Antonio",RB,ACT,5'10,225
"Bass, David",OLB,ACT,6'4,256
"Bell, Byron",OT,RES,6'5,340
"Blackson, Angelo",NT,ACT,6'4,318
"Blake, Valentino",DB,ACT,5'9,198
"Brinkley, Beau",LS,ACT,6'4,260
"Byard, Kevin",FS,ACT,5'11,212
"Casey, Jurrell",DE,ACT,6'1,305
"Cassel, Matt",QB,ACT,6'4,228
"Conklin, Jack",OT,ACT,6'6,308
"Dodd, Kevin",OLB,RES,6'5,277
"Douglas, Harry",WR,ACT,6'0,183
"Fasano, Anthony",TE,ACT,6'4,255
"Fowler, Jalston",FB,ACT,5'11,254
"Henry, Derrick",RB,ACT,6'2,247
"Johnson, Rashad",FS,ACT,5'11,204
"Johnson, Austin",NT,ACT,6'4,314
"Jones, Ben",C,ACT,6'3,308
"Jones, DaQuan",DE,ACT,6'4,322
"Kelly, Dennis",OT,ACT,6'8,321
"Kern, Brett",P,ACT,6'2,214
"Kline, Josh",OG,ACT,6'3,300
"Klug, Karl",DE,RES,6'3,278
"Lewan, Taylor",T,ACT,6'7,309
"Mariani, Marc",WR,ACT,6'1,190
"Mariota, Marcus",QB,RES,6'4,222
"Matias, Josue",OG,RES,6'5,309
"Matthews, Rishard",WR,ACT,6'0,217
"McBride, Tre",WR,ACT,6'0,210
"McCain, Brice",CB,ACT,5'9,190
"McCourty, Jason",CB,ACT,6'0,193
"Morgan, Derrick",OLB,ACT,6'4,261
"Murray, DeMarco",RB,ACT,6'1,220
"Okotcha, Bennett",DB,RES,6'0,195
"Orakpo, Brian",OLB,ACT,6'4,257
"Palmer, Nate",LB,ACT,6'2,248
"Reed, Kalan",DB,ACT,5'11,192
"Riley, Curtis",CB,ACT,6'0,190
"Schwenke, Brian",OG,ACT,6'3,318
"Searcy, Da'Norris",SS,ACT,5'11,207
"Sharpe, Tajae",WR,ACT,6'2,194
"Sims, LeShaun",CB,ACT,6'0,203
"Smith, D'Joun",CB,ACT,5'11,193
"Spain, Quinton",OG,ACT,6'4,330
"Spence, Sean",ILB,ACT,5'11,231
"Stafford, Daimion",SS,ACT,6'1,218
"Staples, Justin",LB,ACT,6'4,245
"Succop, Ryan",K,ACT,6'2,218
"Supernaw, Phillip",TE,ACT,6'5,248
"Tanney, Alex",QB,ACT,6'4,220
"Tretola, Sebastian",OG,ACT,6'4,314
"Walker, Delanie",TE,ACT,6'2,248
"Wallace, Aaron",OLB,ACT,6'2,242
"Warmack, Chance",G,RES,6'2,323
"Williamson, Avery",ILB,ACT,6'1,246
"Woods, Al",NT,ACT,6'4,307
"Woods, Antwaun",DT,ACT,6'1,328
"Woodyard, Wesley",ILB,ACT,6'0,233
"Wright, Kendall",WR,ACT,5'10,191
